movieCd,movieNm,movieNmEn,movieNmOg,watchGradeNm,openDt,showTm,genreNm,directors
20172204,명당,FENGSHUI,,12세이상관람가,20180919,126,사극,PARK Hee-gon
20167903,원더풀 고스트,THE SOUL-MATE,,12세이상관람가,20180926,96,코미디,JO Won-hee
20189262,더 넌,The Nun,,15세이상관람가,20180919,96,공포(호러),Corin Hardy
20185046,서치,Searching,,12세이상관람가,20180829,102,드라마,Aneesh Chaganty
20188304,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,Yo-Kai Watch 4,映画　妖怪ウォッチ　シャドウサイド　鬼王の復活,전체관람가,20180920,103,애니메이션,Shinji Ushiro
20189268,루이스,Luis and the Aliens,,전체관람가,20180920,85,애니메이션,Wolfgang Lauenstein
20180167,에그엔젤 코코밍: 두근두근 핼러윈 파티,,,전체관람가,20180922,68,애니메이션,Norio Nitta
20189743,파이널 포트레이트,Final Portrait,,15세이상관람가,20180927,90,드라마,Stanley Tucci
20156554,물괴,Monstrum,,15세이상관람가,20180912,105,액션,HUH Jong-ho
20189746,극장판 뽀잉: 슈퍼 변신의 비밀,"Boing, The Secret of Super Transformation",,전체관람가,20180920,72,애니메이션,
20153446,너의 결혼식,On Your Wedding Day,,12세이상관람가,20180822,110,멜로/로맨스,LEE Seok-keun
20188581,더 프레데터,The Predator,,청소년관람불가,20180912,107,SF,Shane Black
20189362,업그레이드,UPGRADE,,15세이상관람가,20180906,100,액션,Leigh Whannell
20181942,맘마미아!2,MAMMA MIA! HERE WE GO AGAIN,,12세이상관람가,20180808,113,뮤지컬,Ol Parker
20186202,신과함께-인과 연,Along with the Gods: The Last 49 Days,,12세이상관람가,20180801,141,판타지,KIM Yong-hwa
20177537,상류사회,High Society,,청소년관람불가,20180829,119,드라마,BYUN Daniel H.
20188342,바니부기: 드래곤 에그를 찾아서,Plan egg,,전체관람가,20180912,76,애니메이션,Yangwu Li
20179101,공작,The Spy Gone North,,12세이상관람가,20180808,137,드라마,YOON Jong-bin
20189261,어드리프트:우리가 함께한 바다,ADRIFT,,12세이상관람가,20180906,96,멜로/로맨스,Baltasar Kormakur
20170670,목격자,The Witness,,15세이상관람가,20180815,111,스릴러,CHO Kyu-jang
20188446,양말요정 휴고의 대모험,Oddsockeaters,,전체관람가,20180906,77,어드벤처,Galina Miklinova
20187647,나를 차버린 스파이,The Spy Who Dumped Me,,15세이상관람가,20180822,117,액션,Susanna Fogel
20184802,몬스터 호텔 3,Hotel Transylvania 3: A Monster Vacation,,전체관람가,20180808,97,애니메이션,Genndy Tartakovsky
20139221,그래비티,Gravity,,12세이상관람가,20131017,90,SF,Alfonso Cuaron
20181181,미션 임파서블: 폴아웃,Mission:Impossible- Fallout,,15세이상관람가,20180725,147,액션,Christopher McQuarrie
20183584,메가로돈,The Meg,,12세이상관람가,20180815,113,액션,Jon Turteltaub
20187657,마일22,Mile22,Mile22,15세이상관람가,20180823,94,액션,Peter Berg
20187641,극장판 도라에몽: 진구의 보물섬,Doraemon the Movie: Nobita's Treasure Island,,전체관람가,20180815,107,애니메이션,Kazuaki Imai
20186501,극장판 헬로카봇 : 백악기 시대,Hello Carbot the Movie: The Cretaceous Period,,전체관람가,20180801,84,애니메이션,CHOI Shin-gyu
20183361,인크레더블 2,INCREDIBLES 2,,전체관람가,20180718,125,애니메이션,Brad Bird
20186121,어느 가족,SHOPLIFTERS,万引き家族,15세이상관람가,20180726,120,드라마,Hirokazu Koreeda
20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,The Haunted House: The Secret of the Cave,,전체관람가,20180725,67,애니메이션,KIM Byung-gap
20170942,인랑,ILLANG : THE WOLF BRIGADE,人狼,15세이상관람가,20180725,138,SF,KIM Jee-woon
20179044,더 스퀘어,The Square,,15세이상관람가,20180802,151,코미디,Ruben Ostlund
20180522,앤트맨과 와스프,Ant-Man and the Wasp,,12세이상관람가,20180704,118,액션,Peyton Reed
